,unnamed:_0,unnamed:_0,incubation_center,name_of_the_startup,location_of_company,sector,company_profile,processed
60,60,60,Centre for Innovation and Entrepreneurshp Development at IIIT Sri City (CIEDI),MedCuore Medical Solutions Pvt Ltd,Chennai,Healthcare,Indoor Air Quality Monitoring and Purifying System using Hybrid Green Technology,indoor air quality monitoring purifying system using hybrid green technology
61,61,61,NSRCEL(IIM-B),MedPiper Technologies Pvt Ltd,"Bangalore, Karnataka",Healthtech,"We build standardised APIs that help developers build, deploy and engage with medical practitioners and hospitals; to provide better products and health services for customers.",build standardised apis help developers build deploy engage medical practitioners hospitals provide better products health services customers
62,62,62,Sandip TBI,Payveb Resources Pvt.Ltd,"Nashik , Maharashtra","IT, IoT, Retail, eCommerce & Fintech","SkipnGo is indiaÃÂ¯ÃÂ¿ÃÂ½s first leading counterless payment service platform which allows the customers to experience most uncomplicated and hassle free shopping with no waiting, no lines, no checkouts",skipngo india first leading counterless payment service platform allows customers experience uncomplicated hassle free shopping waiting lines checkouts
63,63,63,Centre for Innovation and Entrepreneurshp Development at IIIT Sri City (CIEDI),Nandha Infotech,"Coimbatore, Tamil Nadu",Agriculture,SenSe Luto ÃÂ¯ÃÂ¿ÃÂ½ Advanced Soil Monitoring & Crop Management System,sense luto advanced soil monitoring crop management system
64,64,64,SIIC IIT Kanpur,ClaitoVision Tecnologies Pvt Ltd,"Thane, Maharashtra",Health and FItness,A Software Development Company which is creating India's first AI based fitness trainer that gives you feedback about the exercise you are doing realtime.,software development company creating india first ai based fitness trainer gives feedback exercise realtime
65,65,65,VITTBI,Alfaleus Technology Private Limited,Bangalore,Medtech,"Alfaleus has developed and validated a virtual reality based visual field perimeter - an important device fo Glaucoma, reducing device cost by 5x
",alfaleus developed validated virtual reality based visual field perimeter important device fo glaucoma reducing device cost x
66,66,66,VITTBI,MR.Abhishek Kumar - company not incorporated (EiR -Foreclosed as of April 2021),Indore,IoT,"""The idea is to integrate Hydroponics and Pisciculture to provide an end product ( using innovative IoT
solutions with Edge devices used to monitor various important parameters) which allows end
consumer to shift to a more self-grown and self-sourced practice of greens and aquatic meats.""
",idea integrate hydroponics pisciculture provide end product using innovative iot solutions edge devices used monitor various important parameters allows end consumer shift self grown self sourced practice greens aquatic meats
67,67,67,VITTBI,Egarden Pvt Ltd,chennai,Agri tech,"Promoting Rooftop Garden with Technology
",promoting rooftop garden technology
68,68,68,VITTBI,RIVER RBEND DATA SOLUTIONS Pvt. Ltd,HYDERABAD - TELANGANA,Artificial intellegence - Health/MedTech,"""River Bend Data solutions is a Data science company we build Medtech solutions automated by AI_ML technologies to accelerate Health Insurance tech companies with Digital Diagnose Tools and HIMS - (Hospital information management systems).

""
",river bend data solutions data science company build medtech solutions automated ai ml technologies accelerate health insurance tech companies digital diagnose tools hims hospital information management systems
69,69,69,VITTBi,GREEN DOMAIN ENERGY SOLUTIONS (yet to incorporate),Kahalgaon Bihar,IOT based Renewable Energy management System,"Developing affordable technology to harness clean source of energy for the least and the most privileged .We save future and money.
",developing affordable technology harness clean source energy least privileged save future money
70,70,70,SIIC IIT KANPUR,WeRehab Technologies Pvt Ltd,"Kanpur, UP",Healthtech,CurAlgia is a virtual and physical foot health clinic that allows patients and athletes to get quantitative real time analytics on their walking pattern using Our smart insole.,curalgia virtual physical foot health clinic allows patients athletes get quantitative real time analytics walking pattern using smart insole
71,71,71,INurture Incubation Foundation,Hawaiadda Aerial Innovations Private Limited,"Ghaziabad, Uttar Pradesh",Aerospace & Defence,"Hawaiadda is an R&D focused startup in the Aviation & Defence sector. Hawaiadda Researches, Designs and Develops efficient ways to unleash true potentials of UAVs and help humanity with ascending Super-Computers.",hawaiadda r focused startup aviation defence sector hawaiadda researches designs develops efficient ways unleash true potentials uavs help humanity ascending super computers
72,72,72,SIIC,PATS Literary Solutions (P) Ltd,Kanpur,"Education, Media & Entertainment","Gaatha, a leading indian cultural app is an audio platform where you will find a variety of good reads of Indic language from different genres, organized and available in an interesting audio format. with the help of AI and ML, gaatha provides content based search based on behavior analysis and leverage upon increased interest based selections and not just genre,title,author based search.Gaatha, A Unique Initiative in the field of Media Tech Domain, which brings back great Indian Literature and Culture in audio Form for all age groups. It will Provide a Platform to all those who enjoy different form of literature such as Stories, Poems, Kids Stories, Vedas, Ramayana etc. Our vision is to create a one huge audio repository consisting of all our classics in various indian languages which can be accessed globally.currently gaatha is giving direct and indirect employement to more than 100 person. we are now going to introduce content of 2 more regional languages as well as the technology will enable user to listen and upload content of its own choice..",gaatha leading indian cultural app audio platform find variety good reads indic language different genres organized available interesting audio format help ai ml gaatha provides content based search based behavior analysis leverage upon increased interest based selections genre title author based search gaatha unique initiative field media tech domain brings back great indian literature culture audio form age groups provide platform enjoy different form literature stories poems kids stories vedas ramayana etc vision create one huge audio repository consisting classics various indian languages accessed globally currently gaatha giving direct indirect employement person going introduce content regional languages well technology enable user listen upload content choice
73,73,73,SIIC IITK,CASHYEAR,Lucknow,FINTECH,"A B2B FINTECH SOLUTION WHICH ALLOW MERCHANT TO ACCEPT MOBILE PAYMENT SEAMLESSLY WITHOUT ANY PHYSICAL MACHINE WITH NFC, THIS ALSO WORKING ON SOLUTION OF BUSINESS GROWTH OF MERCHANT WITH PROMOTION AND COMMUNICATION MODULE WITH THEIR CUSTOMER ON A SINGLE CHANNEL.",b b fintech solution allow merchant accept mobile payment seamlessly without physical machine nfc also working solution business growth merchant promotion communication module customer single channel
74,74,74,Sandip incubation center,Drishte,Hyderabad,Ai,"Drishte is an Edge Ai company working on Computer vision technology where we have built an adtech technology where we found a gap between the brands and the ad agencies that is they dont get a sorted analytics which shows the performance of the ad campaign.

We have started building the technology in the year 2019.we both the founders had the early experience in marketing and technology in our previous startups where it has been a rough journey earlier.But we have a valuable learning which us to avoid few hurddles in this journey.

We are bit decreased the intensity of the growth in lockdown but as of now we are trying to get back on track in low time.",drishte edge ai company working computer vision technology built adtech technology found gap brands ad agencies dont get sorted analytics shows performance ad campaign started building technology year founders early experience marketing technology previous startups rough journey earlier valuable learning us avoid hurddles journey bit decreased intensity growth lockdown trying get back track low time
75,75,75,IIITD Innovation & Incubation Center,Tweek Labs Pvt Ltd,New Delhi,AI & IOT,Tweek helps sports person document & analyse their performance using our motion capture sportswear. It creates sports specific insights about the posture and performance off the player. The insights can be viewed on a phone/tablet app.,tweek helps sports person document analyse performance using motion capture sportswear creates sports specific insights posture performance player insights viewed phone tablet app
76,76,76,IIITD Innovation & Incubation Center,Shasmith Technologies Pvt Ltd,New Delhi,Health Technology,wellOwise empowers people with scientific data driven insights about their health and a personalized diet and lifestyle plan to live better and longer.,wellowise empowers people scientific data driven insights health personalized diet lifestyle plan live better longer
77,77,77,IIITD Innovation & Incubation Center,Eleqtrasoft Education Pvt Ltd,New Delhi,Education Technology,"Eleqtrasoft is an edtech platform which enables a user to have the access to quality technical education in multiple languages, counsels and trains them to achieve their goals faster.",eleqtrasoft edtech platform enables user access quality technical education multiple languages counsels trains achieve goals faster
78,78,78,IIITD Innovation & Incubation Center,Fin Lit Project Services Pvt Ltd,"Lucknow, Uttar Pradesh",Education Technology,A financial education startup providing financial literacy solutions to professional engineering colleges and fintech companies to address the financial literacy gap in India.,financial education startup providing financial literacy solutions professional engineering colleges fintech companies address financial literacy gap india
79,79,79,IIITD Innovation & Incubation Center,ShikshAI Pvt Ltd,"Kolkata, West Bengal",Education Technology,An edutech startup that aims to replace human presence through Artificial Intelligence in the evaluation of the learning process of pre-school kids.,edutech startup aims replace human presence artificial intelligence evaluation learning process pre school kids
80,80,80,IIITD Innovation & Incubation Center,Swapeco Solutions Pvt Ltd,New Delhi,Waste Management,"A digital waste management & recycling platform that enables users to dispose of their recyclables by scheduling a doorstep pickup. Also, it also is developing its own IOT based weighing machine and an inventory management portal that can be used in dry waste management collection centers to digitize their day-to-day activities such as inbound & outbound inventory, record keeping, settlements & transactions, giving completed visibility of collection center operations.",digital waste management recycling platform enables users dispose recyclables scheduling doorstep pickup also also developing iot based weighing machine inventory management portal used dry waste management collection centers digitize day day activities inbound outbound inventory record keeping settlements transactions giving completed visibility collection center operations
81,81,81,IIITD Innovation & Incubation Center,Embedsense Solutions Pvt Ltd,"Bangalore, Karnataka",Manufacturing IOT Sensors,An Industrial IOT product company that manufactures innovative industrial grade wireless sensors and offers value-added solutions that help manufacturing plants transform themselves into smart factories of the future.,industrial iot product company manufactures innovative industrial grade wireless sensors offers value added solutions help manufacturing plants transform smart factories future
82,82,82,CIIE Initiatives,GalaxEye,Chennai,Smart infrastructure,GalaxEye is space technology company aiming to build a world class constellation of satellites gathering an entirely new kind of dataset for Earth Observation.,galaxeye space technology company aiming build world class constellation satellites gathering entirely new kind dataset earth observation
83,83,83,CIIE Initiatives,Extrawatts Renewables Pvt Ltd.,New Delhi,Cleantech and Environment,The Startup haa developed a solution for tackling the problem of Air pollution. An innovative device called ÃÂ¯ÃÂ¿ÃÂ½Wind PanelÃÂ¯ÃÂ¿ÃÂ½ will be installed on the rooftop of vehicles and uses the motion and the aerodynamic flow of air around that vehicle to let the air pass through air filters and a vertical axis wind turbine. The final output will be clean air and charged batteries.,startup haa developed solution tackling problem air pollution innovative device called wind panel installed rooftop vehicles uses motion aerodynamic flow air around vehicle let air pass air filters vertical axis wind turbine final output clean air charged batteries
84,84,84,CIIE Initiatives,Urban Air Labs,Delhi,Clean tech,"For people living in urban cities who are exposed to ever increasing air pollution, Urban Air Labs is an innovation firm that builds nature based green products that provides cleaner and fresher air while tackling a larger spectrum of air pollutants. Unlike conventional air purification systems, our product uses only bio-filtration methods that have no recurring requirement of filter replacement as well as do not leave any carbon footprint. Our first product, Ubreathe is a plant based air purifier that uses our patent pending technology to combine nature with engineering and design. With more than 50 times more purification capability than normal plants, Ubreathe provides a green alternative to traditional mechanical purifiers.",people living urban cities exposed ever increasing air pollution urban air labs innovation firm builds nature based green products provides cleaner fresher air tackling larger spectrum air pollutants unlike conventional air purification systems product uses bio filtration methods recurring requirement filter replacement well leave carbon footprint first product ubreathe plant based air purifier uses patent pending technology combine nature engineering design times purification capability normal plants ubreathe provides green alternative traditional mechanical purifiers
85,85,85,CIIE Initiatives,Nunam Technology India Private Limited,Bangalore,Cleantech,Nunam is a battery technology company enabling reuse of end of life lithium ion batteries. Every electric vehicle has a potential to reuse with more than 60% life still left them As a nation we have a unique opportunity to evovle a true circular economic model for lithium batteries while ensuring a sustainable EV adoption across the country. We believe this step to reuse is key to India's energy storage requirements and its flight against climate change and improved clean energy access.,nunam battery technology company enabling reuse end life lithium ion batteries every electric vehicle potential reuse life still left nation unique opportunity evovle true circular economic model lithium batteries ensuring sustainable ev adoption across country believe step reuse key india energy storage requirements flight climate change improved clean energy access
86,86,86,CIIE Initiatives,Kidaura,"Nashik, Pune",Healthcare,"Kidaura has built a game-based digital screening platform that can help to flag children of age 3-6 years with potential risk to autism and other related conditions.
",kidaura built game based digital screening platform help flag children age years potential risk autism related conditions
87,87,87,SIIC,Hacklab Solutions Private Limited,"Bengaluru, Karnataka",Industrial Automation,"""At Hacklab, we develop smart solutions for
ensuring people safety through digitization.
Through the increased digitization of machines
and humans, there is an improvement of not
only economic, structural, and logistical
settings of the place but also the safety can be
decisively optimized.
By leveraging IoT and AI technologies in our
products we help companies to eliminate
or/and isolate the hazards. We use data from
various sensors on the devices to monitor the
person's/machine's behavior. In case of
detection of non-conformity to the SOPs
(standard operating procedure), the
management is alerted immediately.
Our SAFFR AI solution effectively delivers
'intelligence at the edge' to benefit users with
real-time analytics and actionable response.
Real-time response is a necessity for
safety-critical applications like ours hence most
of the processing happens on the edge.
We make
? Smart Tags for workers
? Tracking devices for heavy machinery
? Smart Camera system
? Cloud AI
We have been working with some of the
largest industries in India and abroad ensuring
the safety of workers and their operations. Our
technology helps us establish safety baselines
for our clients. We provide valuable
data-points like how close people were getting
to a hazard and ultimately reducing
life-threatening events and near-misses.""",hacklab develop smart solutions ensuring people safety digitization increased digitization machines humans improvement economic structural logistical settings place also safety decisively optimized leveraging iot ai technologies products help companies eliminate isolate hazards use data various sensors devices monitor person machine behavior case detection non conformity sops standard operating procedure management alerted immediately saffr ai solution effectively delivers intelligence edge benefit users real time analytics actionable response real time response necessity safety critical applications like hence processing happens edge make smart tags workers tracking devices heavy machinery smart camera system cloud ai working largest industries india abroad ensuring safety workers operations technology helps us establish safety baselines clients provide valuable data points like close people getting hazard ultimately reducing life threatening events near misses
88,88,88,VITTBI,Movio Technologies Pvt. Limited,Chattisgarh,EV,"Movio Technologies Private Limited is a relatively young company, incorporated on July 28, 2021. Despite its young age, it has quickly focused on a critical aspect of the EV ecosystem: battery solutions and micro-mobility. While initially listed under the NIC code for ""Manufacture of parts and accessories for motor vehicles and their engines,"" their associated brand and journey indicate a clear focus on the EV battery sector.
",movio technologies private limited relatively young company incorporated july despite young age quickly focused critical aspect ev ecosystem battery solutions micro mobility initially listed nic code manufacture parts accessories motor vehicles engines associated brand journey indicate clear focus ev battery sector
89,89,89,VITTBI,TeraLumen Solutions Pvt. Ltd.,Chennai,Medical Diagnostics and NDT,"Terahertz based devices for skin hydration monitoring, breast cancer margin detection and non-destructive testing applications 
",terahertz based devices skin hydration monitoring breast cancer margin detection non destructive testing applications
90,90,90,AIC Banasthali Vidyapith Foundation,Thinkpods Education Services Private Limited (previously That Mate),"Satara, Maharashtra",Ed Tech,"Thinkpods Education Bridges the gap in sexual and mental health among adolescents. The startup has covered more than 30,000 adolescents.",thinkpods education bridges gap sexual mental health among adolescents startup covered adolescents
91,91,91,VITTBI,Fat Cat Robotics Pvt Ltd,Pune,IoT,"The idea is to provide solar panel cleaning robots that will autonomously clean solar panels without water. The robot will map and localize the environment for autonomous travels.
",idea provide solar panel cleaning robots autonomously clean solar panels without water robot map localize environment autonomous travels
92,92,92,AIC Banasthali Vidyapith Foundation,Inventiway Solutions Pvt.Ltd.,Mumbai,HR Tech,HR Tech Product that intends to place the Right Candidate on the basis of a validated career and educational history.,hr tech product intends place right candidate basis validated career educational history
93,93,93,AIC Banasthali Vidyapith Foundation,C2M Internet India Pvt. Ltd.,"Lucknow, Uttar Pradesh",Retail Tech,"The App is connecting the small vendors and tells and inform which service is available nearest with what rating along with, what items are available and at what cost.",app connecting small vendors tells inform service available nearest rating along items available cost
94,94,94,VITTBI,ThoughtBit Technologies Pvt Ltd,Chennai,Fintech,"We are a young technology firm founded in 2017 with focus on Enterprise Software.  Founders of the organization bring in more than fifty years of Information Technology expertise, having worked in diverse roles with leading IT firms serving top-tier business conglomerates across the globe.   Our industry alliances are a true reflection of our innovation orientation and customer focus.",young technology firm founded focus enterprise software founders organization bring fifty years information technology expertise worked diverse roles leading firms serving top tier business conglomerates across globe industry alliances true reflection innovation orientation customer focus
95,95,95,VITTBI,Okulo Aerospace Private Limited,Bangalore,"Aerospace & Defense, Robotics, AI & ML","Okulo Aerospace is designing and manufacturing UAVs to radically improve aerial data acquisition and provide aerial surveillance and monitoring solutions. 
",okulo aerospace designing manufacturing uavs radically improve aerial data acquisition provide aerial surveillance monitoring solutions
96,96,96,Krishna Path Incubation Society- TBI KIET,Quest educational technologies LLP,Ghaziabad & Uttar Pradesh,Edutech,"Introduction of Hologram cards and Smartbook is the pioneering effort in India by Quest in transforming the conventional style of learning especially in schools. The very need for such methods of learning emerges from the sole textbook explanations without providing any graphical/animated representations. This piece of work started with just a small idea, but because of the involvement of many peopleÃÂ¯ÃÂ¿ÃÂ½s effort in developing, it took the shape of a book. This book fundamentally uses the technology called Augmented Reality, where virtual objects are get placed or projected virtually into the real world using a digital device like a phone, tablet or any other compatible devices. A better understanding can be provided using such virtual projections without any practical/real implications on the subject areas. The technology has been in use in many sectors, predominantly designs, where the use of such means makes the process very efficient. Similarly, it could be used in educational sector where learning can become more fun and practical Every sector in India has seen great innovations in last few decades where technologies have played a vital role in upgrading the services and respective processes. However, the educational institutions and schools in India are yet to incorporate these technological advances which have potential use in this sector. Few new innovative techniques of learning were introduced in the sector like SmartBoards, which are still confined to a handful of schools (of any order) throughout the nation. Thus, it was one of our objectives to make it available to as many students as possible irrespective of their school, economic status, and location. It is user-friendly for an elementary student requiring the basic knowledge for operating any compatible electronic device, and possibilities for development and innovations with this tool by students itself is boundless. A three-dimensional representation of various elements in addition to two-dimensional representation and text explanation will allow students to understand without doubts. Such an application of the technology would increase the imagination power of students or anyone using the tool. The tool allows for a number of users at the same time, contrary to Smart-Boards where a tutor has control over visualization. We are making huge effort to make the education much more entertaining, elaborative, interesting and easy to comprehend. In the coming days, there are more Books coming on the way, based on a different subject like Historical buildings, Biology, Medical procedures etc. We believe you will love our effort and work we have put in and We will appreciate your support.
",introduction hologram cards smartbook pioneering effort india quest transforming conventional style learning especially schools need methods learning emerges sole textbook explanations without providing graphical animated representations piece work started small idea involvement many people effort developing took shape book book fundamentally uses technology called augmented reality virtual objects get placed projected virtually real world using digital device like phone tablet compatible devices better understanding provided using virtual projections without practical real implications subject areas technology use many sectors predominantly designs use means makes process efficient similarly could used educational sector learning become fun practical every sector india seen great innovations last decades technologies played vital role upgrading services respective processes however educational institutions schools india yet incorporate technological advances potential use sector new innovative techniques learning introduced sector like smartboards still confined handful schools order throughout nation thus one objectives make available many students possible irrespective school economic status location user friendly elementary student requiring basic knowledge operating compatible electronic device possibilities development innovations tool students boundless three dimensional representation various elements addition two dimensional representation text explanation allow students understand without doubts application technology would increase imagination power students anyone using tool tool allows number users time contrary smart boards tutor control visualization making huge effort make education much entertaining elaborative interesting easy comprehend coming days books coming way based different subject like historical buildings biology medical procedures etc believe love effort work put appreciate support
97,97,97,Krishna Path Incubation Society- TBI KIET,MOTS Private Limited,"Fatehpur, Uttar Pradesh",Travel,"About Mots (Metro Online Transit System) Private Limited, Mots (Metro Online Transit System) Private Limited is a active private limited company incorporated on 14 Jul 2021 in Fatehpur, Uttar Pradesh, India. With 4 Year, 13 Days in the business services sector, it has an authorized capital of â¹1.00 M and paid-up capital of â¹0.10 M. Mots (Metro Online Transit System) Private Limited excels in Business Services, driving industry innovation. As of 27 Jun 2025, it is led by 2 directors.",mots metro online transit system private limited mots metro online transit system private limited active private limited company incorporated jul fatehpur uttar pradesh india year days business services sector authorized capital paid capital mots metro online transit system private limited excels business services driving industry innovation jun led directors
98,98,98,Krishna Path Incubation Society- TBI KIET,FARMOCONNECT LLP TECHNOLOGIES,"Ghaziabad, Uttar Pradesh",Agritech,We are working on iot based farm monitoring system by the help of this we can monitor farm parameter.,working iot based farm monitoring system help monitor farm parameter
99,99,99,Krishna Path Incubation Society- TBI KIET,ANI SCRAP PVT LTD,"Ghaziabad, Uttar Pradesh",WASTE MANAGEMENT,We have developed Mobile App for Scrap Collection and Recycle.,developed mobile app scrap collection recycle
100,100,100,Krishna Path Incubation Society- TBI KIET,Dineo,"Jaipur, Rajasthan",IT,We are building digital platform for all the restaurant and hotel for their inventory management and online order.,building digital platform restaurant hotel inventory management online order
101,101,101,Krishna Path Incubation Society- TBI KIET,Bhurak Technologies Pvt. Ltd.,"Saharanpur, Uttar Pradesh",A.I. (Computer Vision),"Bhurak Technologies is working towards commercialization of SECURE.AI (Artificially Intelligent Facial Recognition Surveillance system) specially designed for Schools and Educational Institutions, which helps in maintaining safe environment especially for children and women with data centric facial recognition, computer vision and Artificial Intelligence.",bhurak technologies working towards commercialization secure ai artificially intelligent facial recognition surveillance system specially designed schools educational institutions helps maintaining safe environment especially children women data centric facial recognition computer vision artificial intelligence
102,102,102,SIIC - IIT kanpur,InvoViron Industries Trading Pvt Ltd,Kanpur - Uttar Pradesh,Waste to Value (Bioplastics and Polymer Recycling),Invoviron Industries is a Biotechnology/Polymer company which aims on eradicating Plastic Pollution. The company is presently developing prototypes for making 100% compostable articles using waste protein and also simultaneously developing prototypes using lowest value of plastic waste. The company was incorporated in 2018 in Kanpur and is presently developing commercial prototypes for their products.,invoviron industries biotechnology polymer company aims eradicating plastic pollution company presently developing prototypes making compostable articles using waste protein also simultaneously developing prototypes using lowest value plastic waste company incorporated kanpur presently developing commercial prototypes products
103,103,103,FIRST SIIC IIT Kanpur,WeRehab Technologies Pvt. Ltd.,"Kanpur, Uttar Pradesh",Health Tech,"WeRehab Technologies Pvt Ltd. Is a startup founded in Dec 2020, incubated at IIT Kanpur. We are virtual foot health and Physiotherapy clinic. Our product portfolio includes custom orthotic insoles and slippers for improving foot health of our patients and clients. And a smart insole technology for gait analysis of patients, athletes, and fitness enthusiasts who like to be on top of their performance and health.
Through this technology, we'll make it easier for physios, coaches and other related physicians to early diagnose various conditions such as diabetic foot ulcers, osteoarthritis, muscular imbalances, injury risk, fall risk, etc.

By using the data from our device, the professionals will be able to give early treatment completely personalized to the person's condition. Apart from that, they will also be able to monitor the progress and alter treatment methods if needed. 

For athletes: using our smart insole, coaches and the sports medicine team will be able to get the on field data of the athlete which will help them on the biomechanical level. This data will be used to implement training methods that will reduce injury risk and fatigue, and improve performance levels of the athletes as well.",werehab technologies pvt ltd startup founded dec incubated iit kanpur virtual foot health physiotherapy clinic product portfolio includes custom orthotic insoles slippers improving foot health patients clients smart insole technology gait analysis patients athletes fitness enthusiasts like top performance health technology make easier physios coaches related physicians early diagnose various conditions diabetic foot ulcers osteoarthritis muscular imbalances injury risk fall risk etc using data device professionals able give early treatment completely personalized person condition apart also able monitor progress alter treatment methods needed athletes using smart insole coaches sports medicine team able get field data athlete help biomechanical level data used implement training methods reduce injury risk fatigue improve performance levels athletes well
104,104,104,SIIC,Airth Research Private Limited,Delhi,Healthcare/clean tech,We protect people from unseen viruses in the air using a technology developed at IIT Kanpur and IIT Bombay.,protect people unseen viruses air using technology developed iit kanpur iit bombay
105,105,105,TIDES Business Incubator IIT Roorkee,NANOAI TECHNOLOGY,"TIDES Business Incubator, IIT Roorkee",Embedded Electronics,"NanoAI is an advance embedded and
automation company specializing in hardware
and artificial intelligence. We are a determined
team of scientists and engineers. The
development of new frontiers in edge
computing, reduction in processing time,
computational resources and power and
designing innovative applications and novel
architectures paved the way of the foundation of
the company.",nanoai advance embedded automation company specializing hardware artificial intelligence determined team scientists engineers development new frontiers edge computing reduction processing time computational resources power designing innovative applications novel architectures paved way foundation company
106,106,106,TIDES Business Incubator IIT Roorkee,ThermoPV solar private limited,Delhi,Renewable energy(Solar),ThermoPV solar makes different solar photovoltaic thermal products to increase the efficiency of conventional photovoltaic panels with different modifications and optimization techniques.,thermopv solar makes different solar photovoltaic thermal products increase efficiency conventional photovoltaic panels different modifications optimization techniques
107,107,107,TIDES Business Incubator IIT Roorkee,Virbhadra Implants Private Limited,Dehradun,Medical Device,"Developing innovative orthopaedic implants customized for the Indian population. Primary product, The patellar locking hook plate, is under prototype testing stage.",developing innovative orthopaedic implants customized indian population primary product patellar locking hook plate prototype testing stage
108,108,108,TIDES Business Incubator IIT Roorkee,Fermentech Labs Pvt. Ltd.,Roorkee,Biotechnology,produce high-quality industrial enzymes through our innovative technology and contribute towards circular bio-economy and farmers prosperity,produce high quality industrial enzymes innovative technology contribute towards circular bio economy farmers prosperity
109,109,109,TIDES Business Incubator IIT Roorkee,Powerzest Energy Solutions Pvt ltd,Mumbai,Renewable Energy,"Powerzest is a green tech company with a mission to make the benefits of renewable energy more accessible to the masses by means of innovative technology and business solutions.
The company is in the business of carrying on the research, development, planning, engineering and construction of Renewable Energy Projects.

We offer the state-of-the-art design of our patent-pending mechanism which extracts energy in a radically different way from the low-velocity wind. Using highly-efficient permanent magnet alternators, our disc turbine can work in the most predominant wind conditions, extricating its potential. 

It can produce comparatively higher power at wind speeds of 8 m/s. Our solution also includes a complete plug and play system with a storage and inverter facility which makes it user-friendly and much convenient for installation as compared to other products in the market. Moreover, it integrates both wind & solar energy which makes it a reliable and continuous source of energy.
The product is for people in the rural as well as the urban areas that lack or have no reliable source of power. It is also for those who are looking to rely on renewable as an alternate source of power for their establishments.
",powerzest green tech company mission make benefits renewable energy accessible masses means innovative technology business solutions company business carrying research development planning engineering construction renewable energy projects offer state art design patent pending mechanism extracts energy radically different way low velocity wind using highly efficient permanent magnet alternators disc turbine work predominant wind conditions extricating potential produce comparatively higher power wind speeds solution also includes complete plug play system storage inverter facility makes user friendly much convenient installation compared products market moreover integrates wind solar energy makes reliable continuous source energy product people rural well urban areas lack reliable source power also looking rely renewable alternate source power establishments
110,110,110,TIDES Business Incubator IIT Roorkee,UNIURJA PRIVATE LIMITED,"PATNA, BIHAR",RENEWABLE ENERGY,"The global socio-economic growth has led to a rapid increase in energy demand for everyday needs and amenities. Also, concern for the rapid depletion of fossil fuel and climate change due to its utilization has attracted considerable interest for alternate sources of energy and sustainable technology development. Biomass and bio-waste offer to produce clean energy and sustainable management of pollutants generated from their disposal in an open environment. Biomass has a vast potential to generate renewable electricity, hydrogen, biofuels, chemicals, and thermal energy.
Our prime focus is the generation of green and clean energy in the form of hydrogen, syn-gas, bio-oil, and bio-char/carbon hybrids from biomass and bio-wastes (e.g., agricultural waste, municipal solid waste, etc.). Further, we will provide our consultancy in waste-to-energy conversion and waste management towards renewable and sustainable development of our society and environment.",global socio economic growth led rapid increase energy demand everyday needs amenities also concern rapid depletion fossil fuel climate change due utilization attracted considerable interest alternate sources energy sustainable technology development biomass bio waste offer produce clean energy sustainable management pollutants generated disposal open environment biomass vast potential generate renewable electricity hydrogen biofuels chemicals thermal energy prime focus generation green clean energy form hydrogen syn gas bio oil bio char carbon hybrids biomass bio wastes e g agricultural waste municipal solid waste etc provide consultancy waste energy conversion waste management towards renewable sustainable development society environment
111,111,111,TIDES Business Incubator IIT Roorkee,Raikamal Bhattacharya,IIT Roorkee,Bioprocess and agriculture,"Yet to be done
",yet done
112,112,112,TIDES Business Incubator IIT Roorkee,Biofluidics Innovation Pvt. Ltd,Roorkee,Healthcare,"We primarily focus on the development of next generation low cost, point-of-care (POC) diagnostics devices for healthcare application. Point of care devices are becoming more desirable in the medical sector because of its ease of use and rapid performance. Accessibility and availability of medical facilities in rural areas is still an issue which requires immediate solutions. Disruptive technologies which can bring out smart and low cost solutions to these problems is the need of the hour. Biofluidic innovation brings in smart solutions in the form of healthcare devices which are highly sensitive and at the same time affordable to the common people. 
We also bring artificial intelligence and virtual reality in diagnostics care to improve the capacity, accuracy, and accessibility of the sector. AI based healthcare strategies provide a number of advantages over traditional analytics and clinical decision-making strategies. Learning algorithms can turn out to be more specific and accurate as they interact with training data which allows humans to gain extraordinary insights into diagnostics, care processes, treatment variability, etc. Machine learning can detect and analyze large and small trends from the data and even make predictions designed to identify potential health outcomes. Radiological images obtained by MRI scanning, CT scanners, and X-rays offer non-invasive insights into the internal working of the human body.",primarily focus development next generation low cost point care poc diagnostics devices healthcare application point care devices becoming desirable medical sector ease use rapid performance accessibility availability medical facilities rural areas still issue requires immediate solutions disruptive technologies bring smart low cost solutions problems need hour biofluidic innovation brings smart solutions form healthcare devices highly sensitive time affordable common people also bring artificial intelligence virtual reality diagnostics care improve capacity accuracy accessibility sector ai based healthcare strategies provide number advantages traditional analytics clinical decision making strategies learning algorithms turn specific accurate interact training data allows humans gain extraordinary insights diagnostics care processes treatment variability etc machine learning detect analyze large small trends data even make predictions designed identify potential health outcomes radiological images obtained mri scanning ct scanners x rays offer non invasive insights internal working human body
113,113,113,Bio-incubator at Centre for Cellular and Molecular Platforms (C-CAMP),Predible Health Pvt Ltd,"Bengaluru, Karnataka",Healthcare,"Quicker, accurate Radiology Reporting using Artificial Intelligence",quicker accurate radiology reporting using artificial intelligence
